"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "Markdown", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\myDip\projectDip\Cinema library\src\store\watchlistSlice.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 0, 2, 20, 163
"c:\myDip\projectDip\Cinema library\src\types\Movie.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\myDip\projectDip\Cinema library\src\types\User.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\myDip\projectDip\Cinema library\src\types\Watchlist.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\myDip\projectDip\Cinema library\tsconfig.app.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\myDip\projectDip\Cinema library\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\myDip\projectDip\Cinema library\tsconfig.node.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\myDip\projectDip\Cinema library\vercel.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\myDip\projectDip\Cinema library\vite.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"Total", "-", 639, 7596, 387, 7, 14, 235, 2407, 1346, 42, 248, 565, 13486
